id,price_doc
30474,5703398.5
30475,8149595.0
30476,5835020.5
30477,5645002.5
30478,5058634.5
30479,8768770.0
30480,4219387.0
30481,3878947.0
30482,4848504.0
30483,4964896.5
30484,6481827.5
30485,5349383.0
30486,3899550.75
30487,4056316.25
30488,5874004.5
30489,5720118.0
30490,21418936.0
30491,15781200.0
30492,5705358.0
30493,13719048.0
30494,6990698.0
30495,11012004.0
30496,8638022.0
30497,8436000.0
30498,4745106.0
30499,6759324.5
30500,11847924.0
30501,7188641.0
30502,3148738.25
30503,6459281.0
30504,6194509.5
30505,11034548.0
30506,3244976.25
30507,4686812.5
30508,5168512.5
30509,8332661.0
30510,9204274.0
30511,6842642.0
30512,6556769.5
30513,4079428.75
30514,3903469.0
30515,9383792.0
30516,5649906.0
30517,10465562.0
30518,7941764.5
30519,4925805.0
30520,7226899.5
30521,5816945.0
30522,7316345.5
30523,6564657.5
30524,10736048.0
30525,11202310.0
30526,4883086.0
30527,4946393.0
30528,6713600.0
30529,6696599.0
30530,6740357.5
30531,14787454.0
30532,4591910.0
30533,11433066.0
30534,6619756.0
30535,9362134.0
30536,5321190.5
30537,11992752.0
30538,4904011.5
30539,9111944.0
30540,9424218.0
30541,6903306.5
30542,1932395.5
30543,5642910.0
30544,6619888.0
30545,9286122.0
30546,3992360.5
30547,9848472.0
30548,4433236.0
30549,5586024.0
30550,12535308.0
30551,5317686.5
30552,1951607.0
30553,7101402.5
30554,11264302.0
30555,6096913.5
30556,9742730.0
30557,8080896.0
30558,9329712.0
30559,6316368.0
30560,5663781.0
30561,7384825.0
30562,12262432.0
30563,4241462.0
30564,8177815.0
30565,6768256.0
30566,7020119.0
30567,1931187.875
30568,10121398.0
30569,10588470.0
30570,6826654.0
30571,7904821.0
30572,4905173.5
30573,6546088.5
30574,5993304.0
30575,7662103.5
30576,4811246.5
30577,4471859.0
30578,3276867.0
30579,7532131.5
30580,4626373.0
30581,5620174.5
30582,12989904.0
30583,6975924.5
30584,4730981.0
30585,2876929.25
30586,8886058.0
30587,5718077.5
30588,8185225.0
30589,7490426.0
30590,12736862.0
30591,5320653.5
30592,6865148.0
30593,8009132.0
30594,6235175.0
30595,6008080.0
30596,6004175.0
30597,6504855.5
30598,9543514.0
30599,8829600.0
30600,5181416.5
30601,6527097.0
30602,1942625.875
30603,12307222.0
30604,4782526.0
30605,6899823.5
30606,20401784.0
30607,6856620.5
30608,9370550.0
30609,5849155.5
30610,3106242.75
30611,5121376.0
30612,7636034.0
30613,8599832.0
30614,17498894.0
30615,7901729.0
30616,5442337.0
30617,9512596.0
30618,5143443.0
30619,4318799.0
30620,2648986.75
30621,8714544.0
30622,8567166.0
30623,6171285.5
30624,6528043.0
30625,7894594.0
30626,6304083.0
30627,7752453.5
30628,6544381.5
30629,5070805.5
30630,4444597.0
30631,5994924.0
30632,3918105.75
30633,6290577.0
30634,11597564.0
30635,9467138.0
30636,5454551.5
30637,9096780.0
30638,5816292.5
30639,8568874.0
30640,4386486.0
30641,8028178.0
30642,6558252.5
30643,8192694.5
30644,9581844.0
30645,6984420.5
30646,5468078.0
30647,4446684.5
30648,23821690.0
30649,2248314.0
30650,5112430.5
30651,3235757.0
30652,4709330.0
30653,7416884.5
30654,4353920.0
30655,13071650.0
30656,3593777.5
30657,6172920.0
30658,9499554.0
30659,4882387.0
30660,8723296.0
30661,6787389.0
30662,8577492.0
30663,17174712.0
30664,12188086.0
30665,6014005.5
30666,2785334.75
30667,4008025.75
30668,9257166.0
30669,4570061.5
30670,2273550.25
30671,7215003.5
30672,17149504.0
30673,9982374.0
30674,11581176.0
30675,1920307.5
30676,6936411.5
30677,3963919.25
30678,22489324.0
30679,6202816.5
30680,4682564.0
30681,2246057.25
30682,8728850.0
30683,9568892.0
30684,5358669.5
30685,7567465.5
30686,9033658.0
30687,5118027.0
30688,4857234.5
30689,15196940.0
30690,25626646.0
30691,4897295.0
30692,6165129.0
30693,12540044.0
30694,5782018.0
30695,7465884.0
30696,7320780.5
30697,11071754.0
30698,8781854.0
30699,6004242.0
30700,5009645.0
30701,9587314.0
30702,6527492.0
