id,xgboost2_oof_predict
1,4817987.0
2,5076659.5
3,5149156.5
4,10032066.0
5,13398667.0
6,9883124.0
7,5353660.5
8,4515947.5
9,5526606.5
10,3744731.25
11,4478894.0
12,4321946.5
13,4947473.0
14,4535524.5
15,4842858.0
16,6527572.0
17,5272979.0
18,5145326.0
19,5381129.5
20,4509337.0
21,4909308.5
22,4551537.5
23,5501209.5
24,4375229.5
25,4617590.0
26,4777899.5
27,4720712.0
28,4494471.0
29,8472028.0
30,4312904.0
31,4863919.0
32,12078606.0
33,4523824.5
34,4070554.0
35,3590680.75
36,4178625.75
37,5107997.0
38,4671874.5
39,4372730.0
40,3728705.75
41,5563896.5
42,8145249.5
43,4930410.5
44,10225096.0
45,8332267.5
46,5167180.0
47,4451095.0
48,4497947.0
49,4245909.5
50,4232510.0
51,4111089.5
52,4610638.5
53,5354675.5
54,4736714.0
55,3881342.0
56,4943748.0
57,4737222.5
58,4359887.5
59,10444437.0
60,5956225.0
61,10381147.0
62,6053648.5
63,5924105.5
64,4766102.5
65,5498268.5
66,7203752.0
67,4764716.0
68,5808963.0
69,6802486.0
70,4988951.5
71,4241512.5
72,5986695.0
73,4375034.0
74,4081283.0
75,7091557.5
76,4690314.0
77,8253516.5
78,3803427.75
79,6713404.5
80,16889246.0
81,4268419.0
82,4829948.5
83,3758377.75
84,6988085.0
85,6656922.5
86,5302977.5
87,4201699.5
88,3372378.25
89,5044953.5
90,10188787.0
91,4853644.0
92,7221753.0
93,4489549.0
94,7786168.0
95,4886592.0
96,12727743.0
97,3778571.75
98,4872886.5
99,4955773.5
100,5800063.0
101,4575387.0
102,8154821.0
103,4620272.0
104,4893211.0
105,3927629.75
106,4646352.0
107,4772048.0
108,6402946.5
109,6084261.0
110,9583797.0
111,5071502.0
112,6113896.5
113,6083492.5
114,6125229.0
115,3902689.5
116,4791379.0
117,6560301.5
118,5816624.5
119,4253420.0
120,7969987.0
121,4377896.0
122,4191489.75
123,4316060.0
124,4236021.5
125,10194512.0
126,6102416.0
127,6417495.5
128,4855167.0
129,5688060.5
130,7277936.0
131,4845314.5
132,3857332.75
133,5237935.5
134,5494379.0
135,5465383.0
136,4671277.5
137,5247906.5
138,6682515.5
139,4965720.5
140,4442825.5
141,3412401.5
142,4522359.5
143,4969808.0
144,5697840.0
145,3889212.25
146,5659329.5
147,7392638.0
148,14159085.0
149,4417886.5
150,5083031.5
151,3597607.0
152,5295299.5
153,5324548.0
154,5418643.5
155,3023104.25
156,5452056.5
157,5849475.0
158,6815086.5
159,6632289.5
160,4270676.5
161,9027506.0
162,3984365.25
163,8150162.5
164,4559722.0
165,5935550.5
166,3999182.25
167,4635422.0
168,4319660.5
169,5941827.5
170,5311071.0
171,26797976.0
172,4110865.25
173,4347271.0
174,4540161.5
175,4733672.0
176,3835442.0
177,4704753.5
178,8587367.0
179,10527611.0
180,4366524.0
181,7485357.0
182,9545555.0
183,4399072.0
184,4348585.5
185,4109692.25
186,12603912.0
187,3739088.75
188,5372872.0
189,4680262.0
190,5533415.0
191,10540520.0
192,4335621.0
193,3917548.25
194,4770424.0
195,5402004.5
196,4680373.5
197,4993552.5
198,6504425.0
199,4828817.0
200,15617687.0
201,6313887.5
202,4343938.0
203,3978303.25
204,10035790.0
205,4635376.0
206,4783308.0
207,11063846.0
208,4081534.75
209,7487977.5
210,4674768.0
211,4775294.5
212,4660708.0
213,5007030.5
214,6461767.0
215,4440152.0
216,4258759.5
217,6642454.5
218,6381767.5
219,2636570.0
220,6653921.0
221,8111687.5
222,4837804.0
223,11539101.0
224,3768961.0
225,4880438.5
226,6410796.5
227,4584295.5
228,2706538.5
229,3064859.5
230,3952721.75
231,4654142.5
232,5204711.0
233,4957246.0
234,4474364.0
235,5129158.0
236,3809770.5
237,6075986.0
238,4576515.5
239,5691058.0
240,4201938.0
241,4590324.0
242,5255502.5
243,3680068.75
244,5123988.0
245,3899702.0
246,10486172.0
247,4348614.0
248,4552759.0
249,6823453.0
250,2986578.75
251,4239545.5
252,10538736.0
253,6849039.5
254,5662065.0
255,4891268.0
256,4598422.5
257,5638108.5
258,5156767.5
259,5828552.5
260,4167329.5
261,4551547.0
262,5071955.0
263,13354193.0
264,4339289.0
265,8834035.0
266,5178162.0
267,4441118.5
268,4621448.0
269,5097126.0
270,4229623.5
271,6364419.5
272,3117875.5
273,4983060.5
274,4138012.75
275,5114720.0
276,4549409.0
277,5547154.5
278,4811012.0
279,8079047.5
280,9566665.0
281,10352709.0
282,4617205.5
283,4252083.5
284,4802511.0
285,5441856.0
286,3896774.5
287,7278036.5
288,5099901.5
289,4666881.5
290,4840852.0
291,4830938.0
292,3837708.0
293,3860563.0
294,8985136.0
295,3831324.0
296,4839294.0
297,6002130.0
298,23519990.0
299,6202161.0
300,4445558.5
301,3726995.25
302,4668092.0
