id,xgboost1_oof_predict
1,5169128.0
2,5128756.0
3,5258728.0
4,10967830.0
5,13134753.0
6,8019500.0
7,5256823.0
8,5294162.5
9,6072166.5
10,5181645.0
11,4573593.5
12,3970110.75
13,5479652.5
14,4740805.5
15,5114453.0
16,6426352.5
17,5590148.0
18,5407206.5
19,5720199.5
20,5030752.5
21,5556536.5
22,5275045.0
23,6402594.0
24,4755660.5
25,5058260.5
26,6014387.5
27,5167562.5
28,4534071.0
29,9196104.0
30,5013335.0
31,5882407.5
32,11495257.0
33,4687883.5
34,4154878.75
35,3571066.5
36,4866825.0
37,5070358.5
38,3916363.5
39,4380251.5
40,4153601.75
41,5294194.5
42,6757419.5
43,5200437.5
44,8670002.0
45,8665871.0
46,5955178.0
47,4830830.0
48,4686593.0
49,4998551.5
50,4420034.0
51,4900371.5
52,5174370.0
53,5843660.0
54,5147410.0
55,4651895.5
56,4867676.0
57,5927064.5
58,4505807.0
59,11651000.0
60,7003673.0
61,12059308.0
62,6244122.5
63,6187371.5
64,5245738.0
65,5811393.0
66,6973532.0
67,6699439.5
68,5644746.0
69,8775450.0
70,5519021.0
71,4713618.5
72,7326910.0
73,6182880.0
74,4769046.0
75,6737775.0
76,5283136.5
77,8986863.0
78,4468289.5
79,6711226.0
80,18032828.0
81,5128496.0
82,5539368.0
83,4549318.5
84,9455548.0
85,6455852.0
86,5696985.0
87,5003095.0
88,3705658.75
89,5912981.5
90,11153553.0
91,5609753.5
92,7624503.5
93,5223621.0
94,8295867.0
95,5200764.0
96,12562085.0
97,4033068.5
98,5239308.0
99,4973556.0
100,7850501.5
101,5040074.0
102,9527072.0
103,5359248.5
104,5502812.0
105,4498340.0
106,4924794.5
107,5633136.0
108,8331342.5
109,6251668.5
110,9999466.0
111,5576832.5
112,6575442.5
113,6811347.5
114,6336136.0
115,4269201.0
116,5238064.5
117,6796862.0
118,5982504.0
119,4867296.5
120,9240568.0
121,5808337.0
122,4831909.5
123,4958322.5
124,5094816.5
125,10532023.0
126,6329050.0
127,7273700.0
128,5272485.0
129,6013093.5
130,7612392.0
131,4690944.5
132,4358984.0
133,5592447.0
134,5782916.0
135,5723137.5
136,4826700.5
137,5587580.5
138,6818859.5
139,5434622.0
140,5088068.0
141,3783076.75
142,4935133.5
143,5134666.5
144,6947247.0
145,4759412.0
146,5581769.0
147,8990395.0
148,15592997.0
149,4751847.0
150,6429527.5
151,4091589.75
152,5343539.0
153,6080696.5
154,6298039.5
155,3377601.0
156,6288939.5
157,6353837.5
158,7178022.0
159,7588895.0
160,4454818.5
161,9790106.0
162,4328317.0
163,8491227.0
164,4807834.5
165,6937892.5
166,4591432.0
167,5163928.0
168,4702942.0
169,6234012.5
170,5792303.5
171,26626180.0
172,4175212.25
173,4912601.5
174,4769010.5
175,5095824.5
176,4026016.5
177,4386930.0
178,8930875.0
179,10991352.0
180,4773707.0
181,8591001.0
182,10051586.0
183,4893199.0
184,4748096.5
185,5422673.0
186,13136147.0
187,4489658.0
188,5457104.0
189,4871314.0
190,5662795.5
191,17474064.0
