id,xgboost_oof_predict
1,5257003.5
2,5222502.0
3,5580097.0
4,9860248.0
5,11321808.0
6,8994548.0
7,5645186.5
8,5364134.0
9,6001354.0
11,4696247.5
12,4102443.75
13,5581850.0
14,4648774.0
15,4875176.5
16,6575892.5
17,5461607.5
18,5340844.0
19,5939735.0
20,5291538.5
21,5922915.5
22,5623830.5
23,6516481.0
24,4451519.5
25,4907543.5
26,6858649.0
27,5208110.5
28,4704962.5
29,9301842.0
30,5408944.5
31,6249932.5
32,9857454.0
33,4595645.5
34,4801320.5
35,3932926.5
36,4935642.5
37,4718275.0
38,3586847.5
39,4450236.5
41,5999760.5
42,7010319.0
43,4788093.0
44,8474064.0
45,8623334.0
46,5963159.5
47,5161370.5
48,4870999.0
49,5359244.5
50,5125822.5
51,5250136.5
52,5055811.5
53,5974756.5
54,5711090.5
55,4634077.0
56,5189914.5
57,6832375.5
58,4070773.75
59,11682496.0
61,10653732.0
62,6459177.0
63,6560818.5
64,5392704.0
65,6120235.0
66,7354965.5
68,6455166.5
70,5948711.5
71,4722451.0
72,7922501.5
73,9382452.0
74,5033555.0
75,7209034.0
76,5481433.5
77,8493086.0
78,4099186.5
79,7215557.5
80,15864444.0
85,6591583.5
86,5928995.0
88,4192903.75
89,6028263.5
90,10201014.0
91,5868655.5
92,8998766.0
94,9274994.0
95,5623808.5
96,12725178.0
98,5109750.5
99,5594709.0
100,9528278.0
101,5378542.5
102,8926334.0
103,5376171.5
104,5410730.0
105,4535590.0
106,5155171.5
107,6107735.0
109,6152922.5
110,10101392.0
111,5852600.5
112,6947464.5
113,6495104.0
114,6312563.5
115,4370510.5
116,5922994.5
117,6652904.0
118,6327129.5
119,4972400.0
120,9539332.0
123,5515582.0
124,5340811.0
125,11473948.0
126,6904193.5
127,7712065.5
128,5282724.0
130,7924360.0
131,4623673.5
132,4555339.0
133,6586585.0
134,5548251.0
135,5718794.5
136,4686502.5
137,6275427.5
138,7485507.0
139,6787696.0
140,5160859.5
141,3796511.5
143,5402200.0
145,5237902.5
146,5864551.5
147,11562976.0
148,14764470.0
149,4406917.5
150,6534300.5
151,4140300.75
152,6240890.0
154,6758627.0
156,6781355.0
157,6483010.5
158,7923020.0
159,8244667.5
160,4594812.0
161,8381943.0
162,5169373.5
163,8611094.0
164,5417707.5
167,5575321.5
168,4760945.5
169,6591338.0
170,5937236.0
171,20997942.0
172,4182766.0
173,5019436.5
174,5169272.5
175,5175287.5
176,4137238.5
177,4945750.5
178,8776938.0
179,13024010.0
180,4730522.0
181,9895760.0
182,8995058.0
183,5064379.5
184,4575117.0
186,12388920.0
187,4149312.25
188,6588139.5
189,4961395.0
190,5869709.0
191,20718756.0
192,5229630.5
194,4981713.0
197,5285699.5
198,7560461.0
199,4864578.0
200,15789972.0
201,7232215.5
202,4415391.0
203,4581598.5
204,9755860.0
205,5781790.0
206,5373507.0
207,10242904.0
208,4652741.5
209,8345956.0
211,6817019.5
212,4998163.5
213,6044413.0
214,7100645.0
215,5677702.5
216,5901107.0
218,7547377.0
219,3302200.75
221,9535040.0
222,5487336.0
223,12684762.0
225,5380276.5
226,6451341.0
227,5409352.5
228,3413756.0
229,3934067.75
230,4502339.5
231,5319711.5
232,6291410.0
233,5374786.0
235,5177414.5
237,6406969.0
238,5090500.0
239,6224406.0
240,4646322.0
241,4630551.0
242,5688407.0
243,4061876.5
244,5911358.0
245,4540914.5
246,13160452.0
247,5041001.5
248,4900684.5
249,9068060.0
251,4542977.0
252,11401680.0
253,8010487.0
254,5837769.0
255,6437886.0
256,5065145.0
257,6054050.0
258,5641840.5
259,6469109.0
260,4588057.0
261,4776182.5
262,5372695.5
263,13374726.0
264,5040300.0
265,13070172.0
266,5852787.5
267,4412704.0
268,4847393.5
269,5016612.0
270,4355504.5
271,7426409.0
272,4057765.25
273,5077344.5
274,5193509.0
275,6050153.0
277,5858812.5
278,5135705.0
279,11294538.0
280,9469580.0
281,9703648.0
282,4479877.5
283,4730507.0
284,5388414.0
286,4649302.0
287,7517808.5
288,5400913.0
289,4883447.0
290,5355205.0
291,5199230.5
292,3856592.25
293,4345490.5
294,11982232.0
296,5515428.0
297,6898602.5
298,28644782.0
299,6732881.0
300,4614757.5
302,5443082.0
304,4609806.0
305,5894756.0
306,5814382.5
307,7006340.5
308,7369763.5
309,10747666.0
310,5444516.5
311,5830004.5
312,14968686.0
314,2881899.0
315,5006301.5
316,5006879.0
317,9584672.0
319,8022889.0
320,6390406.0
321,4261549.0
322,6685027.0
324,6093286.0
325,5331361.0
326,11096486.0
327,6618746.5
328,9362746.0
329,13883872.0
330,4862726.5
331,6513922.5
334,5478365.0
335,8276463.5
336,6185132.5
337,4780855.5
338,5843811.0
339,5247017.0
340,6455624.5
341,5901384.5
342,5621773.0
343,5163769.5
344,3850785.25
345,5272078.5
346,4958813.0
347,6852398.5
348,6168461.0
350,6918102.0
351,9935412.0
352,11041118.0
354,6009880.0
355,5742442.0
356,6259445.0
357,9522846.0
358,5221917.5
359,7074241.0
361,4554842.0
363,12096484.0
364,4839729.5
367,7451388.5
368,6923507.5
369,5535464.0
370,4134829.75
372,6302610.0
373,7988113.0
376,4818978.0
377,4546861.0
378,12077856.0
379,10841904.0
380,5156452.0
381,4171485.75
382,7794605.5
383,5646948.0
384,4573330.5
385,6553178.0
387,5935289.5
388,8677736.0
389,5376732.5
390,4748226.0
391,4826693.0
392,5595389.0
393,5153721.0
394,10431986.0
395,8571174.0
396,5618901.0
397,7961395.5
398,3971977.0
399,4393945.0
400,7482961.5
401,7059550.5
402,4069710.5
403,4365114.0
404,3999852.25
406,5290605.0
407,8159120.0
408,6136609.5
409,5594030.0
410,10392634.0
411,4601188.0
412,7650935.5
413,8733694.0
414,5225675.0
416,4593552.0
417,3834454.75
418,5645920.0
419,5558078.5
420,9502130.0
421,4710019.0
423,6965706.0
424,4850570.5
425,10034524.0
426,4988472.5
427,3802635.0
428,12013252.0
429,5275864.5
431,8332831.5
432,6394463.0
433,4203806.0
435,9486472.0
436,13705828.0
437,5013056.5
438,9198246.0
439,9135676.0
440,9328674.0
441,4611453.5
442,23577084.0
443,4739513.5
444,5589398.5
445,5339962.5
446,5968874.5
448,5536547.0
451,7510951.5
452,5506740.0
453,4593942.5
454,5772062.5
455,37863144.0
456,10536070.0
457,5481421.5
458,5169625.5
459,5329960.0
460,5688970.5
461,12843596.0
462,7027622.5
463,5083324.5
464,5825541.5
465,5468777.5
466,4908047.0
467,11780150.0
469,4762749.5
471,6787489.0
472,5250370.0
473,3641349.0
474,5921287.5
476,6010616.5
477,5968839.5
478,5103119.5
480,4930625.0
481,11536068.0
482,4802421.5
483,5376085.0
484,4292646.0
485,5644447.0
486,4831257.5
488,9799358.0
489,5443631.0
490,9695504.0
491,6113052.0
492,12510644.0
493,4454956.5
494,2672723.5
495,5251138.0
496,7549237.5
497,4054975.5
498,9668628.0
500,5194897.5
501,5445807.0
502,4825300.0
503,11263772.0
505,5199564.0
506,8596160.0
507,5056389.0
508,6333650.0
509,6071471.0
510,9306354.0
511,13957828.0
512,5772646.0
513,9842734.0
514,7805927.0
515,5232442.0
516,8174779.5
518,6053551.5
520,5121085.0
521,5294547.5
522,6500833.5
523,5354895.5
525,6036483.5
526,5850167.0
527,7550234.0
529,4345086.5
530,5296865.5
531,5044673.0
532,4825962.0
533,6908344.0
534,4249473.5
535,5081796.0
536,12117222.0
537,5461914.5
538,4819786.0
540,5027835.5
541,6198456.5
542,12921006.0
543,4791971.5
544,5593924.5
545,8504888.0
546,7481260.5
547,6639973.0
